Year	Month	Day	Temperature
2018	9	24	25.76
2018	9	25	24.78
2018	9	26	22.83
2018	9	27	21.83
2018	9	28	21.92
2018	9	29	22.67
2018	9	30	23.58
2018	10	1	23.26
2018	10	2	20.15
2018	10	3	19.63
2018	10	4	20.48
2018	10	5	20.82
2018	10	6	21.69
2018	10	7	22.3
2018	10	8	22.55
2018	10	9	22.96
2018	10	10	23.01
2018	10	11	23.59
2018	10	12	22.5
2018	10	13	21.58
2018	10	14	20.83
2018	10	15	20.47
2018	10	16	21.82
2018	10	17	21.41
2018	10	18	21.05
2018	10	19	20.34
2018	10	20	21.12
2018	10	21	20.77
2018	10	22	19.26
2018	10	23	18.49
2018	10	24	19.36
2018	10	25	19.8
2018	10	26	19.23
2018	10	27	19.15
2018	10	28	20.39
2018	10	29	17.98
2018	10	30	14.91
2018	10	31	16.2
2018	11	1	18.07
2018	11	2	18.17
2018	11	3	15.83
2018	11	4	15.83
2018	11	5	15.96
2018	11	6	15.89
2018	11	7	16.31
2018	11	8	16.14
2018	11	9	16.35
2018	11	10	15.44
2018	11	11	16.33
2018	11	12	16.53
2018	11	13	17.38
2018	11	14	17.23
2018	11	15	16.58
2018	11	16	16.04
2018	11	17	15.24
2018	11	18	15.45
2018	11	19	15.64
2018	11	20	14.54
2018	11	21	14.33
2018	11	22	14.8
2018	11	23	15.09
2018	11	24	14.9
2018	11	25	14.61
2018	11	26	14.59
2018	11	27	14.75
2018	11	28	15.22
2018	11	29	13.79
2018	11	30	12.77
2018	12	1	14
2018	12	2	14.6
2018	12	3	14.48
2018	12	4	15.94
2018	12	5	14.81
2018	12	6	14.03
2018	12	7	14.53
2018	12	8	14.38
2018	12	9	15.09
2018	12	10	14.57
2018	12	11	13.49
2018	12	12	13.23
2018	12	13	13.72
2018	12	14	11.8
2018	12	15	12.96
2018	12	16	13.82
2018	12	17	13.86
2018	12	18	12.41
2018	12	19	10.03
2018	12	20	12.33
2018	12	21	11.95
2018	12	22	12.12
2018	12	23	13.96
2018	12	24	13.41
2018	12	25	13.08
2018	12	26	10.69
2018	12	27	9.19
2018	12	28	9.98
2018	12	29	10.37
2018	12	30	11.6
2018	12	31	12.4
2019	1	1	11.63
2019	1	2	13.04
2019	1	3	10.23
2019	1	4	8.79
2019	1	5	9.69
2019	1	6	11.98
2019	1	7	12.14
2019	1	8	11.39
2019	1	9	12.08
2019	1	10	9.83
2019	1	11	8.26
2019	1	12	9.47
2019	1	13	11.72
2019	1	14	13.8
2019	1	15	12.21
2019	1	16	10.14
2019	1	17	10
2019	1	18	10.35
2019	1	19	10.73
2019	1	20	10.88
2019	1	21	11.53
2019	1	22	10.65
2019	1	23	8.69
2019	1	24	8.88
2019	1	25	10.4
2019	1	26	10.85
2019	1	27	12.16
2019	1	28	10.86
2019	1	29	10.33
2019	1	30	10.26
2019	1	31	10.87
2019	2	1	12.74
2019	2	2	11.38
2019	2	3	9.56
